# Wavelength (Å), Efficiency
2.199999999999999734e+00,8.264134279640462655e-01
2.209999999999999964e+00,8.269569793478669384e-01
2.219999999999999751e+00,8.271953055891938522e-01
2.229999999999999982e+00,8.280015586807443206e-01
2.239999999999999769e+00,8.285933203147005655e-01
2.250000000000000000e+00,8.291090342749350972e-01
2.259999999999999787e+00,8.296397454691244455e-01
2.270000000000000018e+00,8.301020038271379464e-01
2.279999999999999805e+00,8.307121660255973872e-01
2.290000000000000036e+00,8.311597282222590310e-01
2.299999999999999822e+00,8.314721746912343558e-01
2.310000000000000053e+00,8.320569077417906412e-01
2.319999999999999840e+00,8.325236242461693248e-01
2.329999999999999627e+00,8.329877864328908421e-01
2.339999999999999858e+00,8.334512242083633726e-01
2.349999999999999645e+00,8.338418650037346946e-01
2.359999999999999876e+00,8.341063901550058723e-01
2.369999999999999662e+00,8.345332046289114514e-01
2.379999999999999893e+00,8.351524602313209478e-01
2.389999999999999680e+00,8.356120687843826556e-01
2.399999999999999911e+00,8.358540646576816391e-01
2.409999999999999698e+00,8.361745563254591174e-01
2.419999999999999929e+00,8.367880514070681341e-01
2.429999999999999716e+00,8.371601061891592588e-01
2.439999999999999947e+00,8.374874179666358387e-01
2.449999999999999734e+00,8.377992749508025305e-01
2.459999999999999964e+00,8.381717763216270933e-01
2.469999999999999751e+00,8.386617631190518285e-01
2.479999999999999982e+00,8.390871733777136576e-01
2.489999999999999769e+00,8.392996446206791861e-01
2.500000000000000000e+00,8.397037789187851153e-01
2.509999999999999787e+00,8.400516995586621016e-01
2.520000000000000018e+00,8.403084355228044311e-01
2.529999999999999805e+00,8.407386348312787527e-01
2.540000000000000036e+00,8.411086915057864877e-01
2.549999999999999822e+00,8.414320885759016821e-01
2.560000000000000053e+00,8.417800628775653493e-01
2.569999999999999840e+00,8.420939524143566945e-01
2.579999999999999627e+00,8.423592845224470160e-01
2.589999999999999858e+00,8.424610091545281509e-01
2.599999999999999645e+00,8.427535284727609710e-01
2.609999999999999876e+00,8.431244317852120140e-01
2.619999999999999662e+00,8.433756537081187332e-01
2.629999999999999893e+00,8.437227029198217654e-01
2.639999999999999680e+00,8.441230278568579992e-01
2.649999999999999911e+00,8.445494315618544690e-01
2.659999999999999698e+00,8.448055058819712304e-01
2.669999999999999929e+00,8.449631785725806310e-01
2.679999999999999716e+00,8.452610149613011270e-01
2.689999999999999947e+00,8.455731156762789080e-01
2.699999999999999734e+00,8.458961310035612025e-01
2.709999999999999964e+00,8.459916251004954146e-01
2.719999999999999751e+00,8.461187733374549991e-01
2.729999999999999982e+00,8.462946850200268045e-01
2.739999999999999769e+00,8.469127335685867619e-01
2.750000000000000000e+00,8.473582944717569232e-01
2.759999999999999787e+00,8.471959080075164294e-01
2.770000000000000018e+00,8.472235641847685184e-01
2.779999999999999805e+00,8.473794408602434158e-01
2.790000000000000036e+00,8.479598977746067856e-01
2.799999999999999822e+00,8.482957046161829773e-01
2.810000000000000053e+00,8.483869056413564369e-01
