# Wavelength (Å), Efficiency
4.973244147157190653e+00,6.182390151335296347e-01
4.993311036789297219e+00,6.184452013167379691e-01
5.013377926421404673e+00,6.186496412074521389e-01
5.033444816053512127e+00,6.188523562602126216e-01
5.053511705685618693e+00,6.190533675651901380e-01
5.073578595317726148e+00,6.192526958554349648e-01
5.093645484949832714e+00,6.194503615139326236e-01
5.113712374581940168e+00,6.196463845805331161e-01
5.133779264214046734e+00,6.198407847586673292e-01
5.153846153846154188e+00,6.200335814219840591e-01
5.173913043478260754e+00,6.202247936207700985e-01
5.193979933110368208e+00,6.204144400882727339e-01
5.214046822742474774e+00,6.206025392468512702e-01
5.234113712374582228e+00,6.207891092140237488e-01
5.254180602006688794e+00,6.209741678083309235e-01
5.274247491638796248e+00,6.211577325551217443e-01
5.294314381270902814e+00,6.213398206921819655e-01
5.314381270903010268e+00,6.215204491752460703e-01
5.334448160535116834e+00,6.216996346833782994e-01
5.354515050167224288e+00,6.218773936242638634e-01
5.374581939799330854e+00,6.220537421393488309e-01
5.394648829431438308e+00,6.222286961089027457e-01
5.414715719063544874e+00,6.224022711569358046e-01
5.434782608695652328e+00,6.225744827108963264e-01
5.454849498327758894e+00,6.227453469433682498e-01
5.474916387959866348e+00,6.229148806310548236e-01
5.494983277591973803e+00,6.230831003013560521e-01
5.515050167224080369e+00,6.232500221996626344e-01
5.535117056856187823e+00,6.234156622947581994e-01
5.555183946488294389e+00,6.235800362842641720e-01
5.575250836120401843e+00,6.237431595999852751e-01
5.595317725752508409e+00,6.239050474131120350e-01
5.615384615384615863e+00,6.240657146393356891e-01
5.635451505016722429e+00,6.242251759438448566e-01
5.655518394648829883e+00,6.243834457462161813e-01
5.675585284280936449e+00,6.245405382251937310e-01
5.695652173913043903e+00,6.246964673233827980e-01
5.715719063545150469e+00,6.248512467518324565e-01
5.735785953177257923e+00,6.250048899945200853e-01
5.755852842809364489e+00,6.251574103127437443e-01
5.775919732441471943e+00,6.253088207494250650e-01
5.795986622073578509e+00,6.254591341333139987e-01
5.816053511705685963e+00,6.256083630831130726e-01
5.836120401337792529e+00,6.257565200115017268e-01
5.856187290969899983e+00,6.259036171290947026e-01
5.876254180602006549e+00,6.260496664482991802e-01
5.896321070234114003e+00,6.261946797870999726e-01
5.916387959866220569e+00,6.263386687727697799e-01
5.936454849498328024e+00,6.264816448454803011e-01
5.956521739130434590e+00,6.266236192618791501e-01
