# Wavelength (Å), Efficiency
2.560000000000000053e+00,9.170174945057760763e-01
2.569999999999999840e+00,9.172126711082274619e-01
2.579999999999999627e+00,9.173627738620340200e-01
2.589999999999999858e+00,9.173497064551107139e-01
2.599999999999999645e+00,9.175203107761999988e-01
2.609999999999999876e+00,9.177671294711905459e-01
2.619999999999999662e+00,9.179010809144595440e-01
2.629999999999999893e+00,9.181233185774603234e-01
2.639999999999999680e+00,9.183947418778902749e-01
2.649999999999999911e+00,9.186886068784114734e-01
2.659999999999999698e+00,9.188270809638876546e-01
2.669999999999999929e+00,9.188765593072035776e-01
2.679999999999999716e+00,9.190582918865943807e-01
2.689999999999999947e+00,9.192503113398222681e-01
2.699999999999999734e+00,9.194501271203096016e-01
2.709999999999999964e+00,9.194395481582919860e-01
2.719999999999999751e+00,9.194623036371895042e-01
2.729999999999999982e+00,9.195350331665484989e-01
2.739999999999999769e+00,9.200124939496940879e-01
2.750000000000000000e+00,9.203286741095344503e-01
2.759999999999999787e+00,9.200791272285917533e-01
2.770000000000000018e+00,9.200111844051355181e-01
2.779999999999999805e+00,9.200639290967492778e-01
2.790000000000000036e+00,9.205006758528226918e-01
2.799999999999999822e+00,9.207135692665745497e-01
2.810000000000000053e+00,9.207028211303607268e-01
2.819999999999999840e+00,9.209886452490748665e-01
2.829999999999999627e+00,9.211679420003353602e-01
2.839999999999999858e+00,9.209441556638262583e-01
2.849999999999999645e+00,9.210523740732925457e-01
2.859999999999999876e+00,9.213531519828447314e-01
2.869999999999999662e+00,9.215291113263773815e-01
2.879999999999999893e+00,9.216284543850017386e-01
2.889999999999999680e+00,9.215846889139956977e-01
2.899999999999999911e+00,9.215118308509544498e-01
2.909999999999999698e+00,9.214242709650477536e-01
2.919999999999999929e+00,9.214200468625050044e-01
2.929999999999999716e+00,9.215236194909087741e-01
2.939999999999999947e+00,9.218532912280074099e-01
2.949999999999999734e+00,9.220395981151184861e-01
2.959999999999999964e+00,9.221426942905224244e-01
2.969999999999999751e+00,9.220891402243044377e-01
2.979999999999999982e+00,9.220980548679387212e-01
2.989999999999999769e+00,9.223610448402979056e-01
3.000000000000000000e+00,9.225437078948856007e-01
3.009999999999999787e+00,9.226490469864055965e-01
3.020000000000000018e+00,9.225833743986785462e-01
3.029999999999999805e+00,9.224745538999356009e-01
3.040000000000000036e+00,9.225182111500994653e-01
3.049999999999999822e+00,9.225699407289715825e-01
3.060000000000000053e+00,9.226442662323972588e-01
3.069999999999999840e+00,9.225785859629549446e-01
3.080000000000000071e+00,9.223908557659199481e-01
3.089999999999999858e+00,9.225160012657750430e-01
3.099999999999999645e+00,9.227356605943889400e-01
3.109999999999999876e+00,9.227378036109901149e-01
3.119999999999999662e+00,9.227761036816082285e-01
3.129999999999999893e+00,9.229872798752138952e-01
3.139999999999999680e+00,9.231601361318056975e-01
3.149999999999999911e+00,9.232762601176024431e-01
3.159999999999999698e+00,9.232834232636435434e-01
3.169999999999999929e+00,9.232125781167438427e-01
3.179999999999999716e+00,9.232000828437988416e-01
3.189999999999999947e+00,9.232049100461580116e-01
3.199999999999999734e+00,9.232236909681285075e-01
3.209999999999999964e+00,9.232366488839278684e-01
3.219999999999999751e+00,9.231931086708964340e-01
3.229999999999999982e+00,9.231776170770780165e-01
3.239999999999999769e+00,9.232559756492664249e-01
3.250000000000000000e+00,9.233452868919451717e-01
3.259999999999999787e+00,9.234545214982587957e-01
3.270000000000000018e+00,9.234145723077097356e-01
3.279999999999999805e+00,9.232255252013813474e-01
3.290000000000000036e+00,9.232467032924397410e-01
3.299999999999999822e+00,9.233990284255745307e-01
3.310000000000000053e+00,9.232965210301968817e-01
3.319999999999999840e+00,9.230938637804154689e-01
3.330000000000000071e+00,9.232056261378547291e-01
3.339999999999999858e+00,9.233890028282190077e-01
3.349999999999999645e+00,9.235122176108448988e-01
3.359999999999999876e+00,9.236261454433888352e-01
3.369999999999999662e+00,9.235089483628106111e-01
3.379999999999999893e+00,9.233840354945361817e-01
3.389999999999999680e+00,9.233194614685296120e-01
3.399999999999999911e+00,9.232699767483607545e-01
3.409999999999999698e+00,9.234221860700421169e-01
3.419999999999999929e+00,9.235579875932596883e-01
3.429999999999999716e+00,9.235776884019970545e-01
3.439999999999999947e+00,9.235884233473180549e-01
3.449999999999999734e+00,9.235482715898325479e-01
3.459999999999999964e+00,9.234899907070690528e-01
3.469999999999999751e+00,9.233329550452974432e-01
3.479999999999999982e+00,9.231886413360433918e-01
3.489999999999999769e+00,9.231125402641108257e-01
3.500000000000000000e+00,9.230839221053885879e-01
3.509999999999999787e+00,9.233353564660952140e-01
3.520000000000000018e+00,9.235440402891710310e-01
3.529999999999999805e+00,9.234733481464560967e-01
3.540000000000000036e+00,9.234105356768540496e-01
3.549999999999999822e+00,9.234265931193970101e-01
3.560000000000000053e+00,9.234321905302294020e-01
3.569999999999999840e+00,9.232655495107432442e-01
3.580000000000000071e+00,9.230995394768141127e-01
3.589999999999999858e+00,9.231864247033879645e-01
3.599999999999999645e+00,9.232726771857662218e-01
3.609999999999999876e+00,9.232085017680227157e-01
3.619999999999999662e+00,9.231328907539986250e-01
3.629999999999999893e+00,9.231930742907574761e-01
3.639999999999999680e+00,9.232756667319270694e-01
3.649999999999999911e+00,9.231923254270246737e-01
3.659999999999999698e+00,9.230571732084452696e-01
3.669999999999999929e+00,9.230126425528136780e-01
3.679999999999999716e+00,9.230147057785481612e-01
3.689999999999999947e+00,9.229707366738589824e-01
3.699999999999999734e+00,9.228881883938214736e-01
3.709999999999999964e+00,9.228103704260820495e-01
3.719999999999999751e+00,9.227392953629202088e-01
3.729999999999999982e+00,9.226969134104371362e-01
3.739999999999999769e+00,9.227294863481573239e-01
3.750000000000000000e+00,9.227536639967586218e-01
3.759999999999999787e+00,9.227248317548388812e-01
3.770000000000000018e+00,9.226956476581250621e-01
3.779999999999999805e+00,9.228003835885865147e-01
3.790000000000000036e+00,9.229092493050670143e-01
3.799999999999999822e+00,9.227867880958240399e-01
3.810000000000000053e+00,9.226013467390538070e-01
3.819999999999999840e+00,9.225870595201189905e-01
3.830000000000000071e+00,9.226882270529489505e-01
3.839999999999999858e+00,9.226973252852457286e-01
3.849999999999999645e+00,9.225656991086927938e-01
3.859999999999999876e+00,9.224786655200363228e-01
3.869999999999999662e+00,9.225956040851207574e-01
3.879999999999999893e+00,9.227111330509977227e-01
3.889999999999999680e+00,9.225242964449048566e-01
3.899999999999999911e+00,9.223224972343956329e-01
3.909999999999999698e+00,9.221880558768633662e-01
3.919999999999999929e+00,9.220813018229986335e-01
3.929999999999999716e+00,9.220018659181554721e-01
3.939999999999999947e+00,9.219543955831234205e-01
3.949999999999999734e+00,9.219265991625087420e-01
3.959999999999999964e+00,9.219826219951632318e-01
3.969999999999999751e+00,9.220376945532691160e-01
3.979999999999999982e+00,9.218296263036336313e-01
3.989999999999999769e+00,9.215972159326552005e-01
4.000000000000000000e+00,9.215979095125790277e-01
4.009999999999999787e+00,9.217404985359465286e-01
4.019999999999999574e+00,9.217899951914680923e-01
4.030000000000000249e+00,9.216383799957107437e-01
4.040000000000000036e+00,9.214874792696328143e-01
4.049999999999999822e+00,9.213650205966738005e-01
4.059999999999999609e+00,9.212432534434258358e-01
4.070000000000000284e+00,9.212509375665942635e-01
4.080000000000000071e+00,9.213238424898309020e-01
4.089999999999999858e+00,9.213336358090736811e-01
4.099999999999999645e+00,9.212087902942717177e-01
4.109999999999999432e+00,9.210844909673771008e-01
4.120000000000000107e+00,9.209777852644708274e-01
4.129999999999999893e+00,9.208722718018154119e-01
4.139999999999999680e+00,9.208086386212994690e-01
4.149999999999999467e+00,9.207746166538018917e-01
4.160000000000000142e+00,9.207781454124891463e-01
4.169999999999999929e+00,9.209343385154640238e-01
4.179999999999999716e+00,9.210890923098782324e-01
4.189999999999999503e+00,9.210440903501241339e-01
4.200000000000000178e+00,9.209485013800677855e-01
4.209999999999999964e+00,9.207866839027144534e-01
4.219999999999999751e+00,9.205185137780249605e-01
4.229999999999999538e+00,9.202520384680183962e-01
4.240000000000000213e+00,9.203255543424780916e-01
4.250000000000000000e+00,9.204145945481227997e-01
4.259999999999999787e+00,9.203685376523477180e-01
4.269999999999999574e+00,9.201947923217582703e-01
4.280000000000000249e+00,9.200371324114215987e-01
4.290000000000000036e+00,9.201396488332297396e-01
4.299999999999999822e+00,9.202412195436855402e-01
4.309999999999999609e+00,9.201710567313148292e-01
4.320000000000000284e+00,9.199801917709374832e-01
4.330000000000000071e+00,9.198247092680580383e-01
4.339999999999999858e+00,9.199784601309686227e-01
4.349999999999999645e+00,9.201309281249873129e-01
4.360000000000000320e+00,9.200478598599562963e-01
4.370000000000000107e+00,9.198099087405176011e-01
4.379999999999999893e+00,9.195915697539004396e-01
4.389999999999999680e+00,9.195646171097984212e-01
4.399999999999999467e+00,9.195375885811517547e-01
4.410000000000000142e+00,9.194590901436988650e-01
4.419999999999999929e+00,9.193404569856766795e-01
4.429999999999999716e+00,9.192248313879375354e-01
4.439999999999999503e+00,9.192570513110775998e-01
4.450000000000000178e+00,9.192888506454938158e-01
4.459999999999999964e+00,9.192109389018392474e-01
4.469999999999999751e+00,9.190049014131830285e-01
4.479999999999999538e+00,9.188000644758753666e-01
4.490000000000000213e+00,9.187628406991298347e-01
4.500000000000000000e+00,9.187468441567681054e-01
4.509999999999999787e+00,9.187382623409656723e-01
4.519999999999999574e+00,9.187470271463379357e-01
4.530000000000000249e+00,9.187555341373438988e-01
4.540000000000000036e+00,9.186515287912713212e-01
4.549999999999999822e+00,9.184995885170245122e-01
4.559999999999999609e+00,9.183560647916465536e-01
4.570000000000000284e+00,9.182991279944537899e-01
4.580000000000000071e+00,9.182423784438501491e-01
4.589999999999999858e+00,9.181940426494580310e-01
4.599999999999999645e+00,9.181559120778176597e-01
4.610000000000000320e+00,9.181178592825883777e-01
4.620000000000000107e+00,9.181420722468185414e-01
4.629999999999999893e+00,9.181812750755604657e-01
4.639999999999999680e+00,9.182010104570739184e-01
4.649999999999999467e+00,9.181030752712970866e-01
4.660000000000000142e+00,9.180056274355560264e-01
4.669999999999999929e+00,9.178764279662938730e-01
4.679999999999999716e+00,9.177103910508443985e-01
4.689999999999999503e+00,9.175453085611684489e-01
4.700000000000000178e+00,9.174800191474968836e-01
4.709999999999999964e+00,9.174447828524658899e-01
4.719999999999999751e+00,9.174114147765166649e-01
4.729999999999999538e+00,9.174068883218032822e-01
4.740000000000000213e+00,9.174022519578316492e-01
4.750000000000000000e+00,9.173825563579848241e-01
4.759999999999999787e+00,9.173331527104505723e-01
4.769999999999999574e+00,9.172838974437770299e-01
4.780000000000000249e+00,9.171392813149507051e-01
4.790000000000000036e+00,9.169304171917663782e-01
4.799999999999999822e+00,9.167227804003897917e-01
4.809999999999999609e+00,9.166565164515380060e-01
4.820000000000000284e+00,9.166175546325348034e-01
4.830000000000000071e+00,9.165765911596437387e-01
4.839999999999999858e+00,9.165058664603731309e-01
4.849999999999999645e+00,9.164354809934610602e-01
4.860000000000000320e+00,9.163308285281872578e-01
4.870000000000000107e+00,9.161371035005501096e-01
4.879999999999999893e+00,9.159444632971022182e-01
4.889999999999999680e+00,9.158570851161038640e-01
4.899999999999999467e+00,9.158854590648887184e-01
4.910000000000000142e+00,9.159135567844568504e-01
4.919999999999999929e+00,9.158037544040396050e-01
4.929999999999999716e+00,9.156218092194512437e-01
4.939999999999999503e+00,9.154408927623874925e-01
4.950000000000000178e+00,9.154549124257742587e-01
4.959999999999999964e+00,9.155120666324316758e-01
4.969999999999999751e+00,9.155687919503004979e-01
4.979999999999999538e+00,9.155244858519810958e-01
4.990000000000000213e+00,9.154765949683857373e-01
